ID,Name,Keywords,CodeString,MasterID
3574,SB_BinaryStats_iqr_pstretch1,"symbolic,distribution,correlation",SB_BinaryStats_iqr.pstretch1,890
3575,SB_BinaryStats_iqr_longstretch1,"symbolic,distribution,correlation",SB_BinaryStats_iqr.longstretch1,890
3576,SB_BinaryStats_iqr_longstretch0,"symbolic,distribution,correlation",SB_BinaryStats_iqr.longstretch0,890
3577,SB_BinaryStats_iqr_meanstretch1,"symbolic,distribution,correlation",SB_BinaryStats_iqr.meanstretch1,890
3578,SB_BinaryStats_iqr_meanstretch0,"symbolic,distribution,correlation",SB_BinaryStats_iqr.meanstretch0,890
3579,SB_BinaryStats_iqr_meanstretchdiff,"symbolic,distribution,correlation",SB_BinaryStats_iqr.meanstretchdiff,890
3580,SB_BinaryStats_iqr_stdstretch1,"symbolic,distribution,correlation",SB_BinaryStats_iqr.stdstretch1,890
3581,SB_BinaryStats_iqr_stdstretch0,"symbolic,distribution,correlation",SB_BinaryStats_iqr.stdstretch0,890
3582,SB_BinaryStats_iqr_stdstretchdiff,"symbolic,distribution,correlation",SB_BinaryStats_iqr.stdstretchdiff,890
3583,SB_BinaryStats_iqr_diff21stretch1,"symbolic,distribution,correlation",SB_BinaryStats_iqr.diff21stretch1,890
3584,SB_BinaryStats_iqr_diff21stretch0,"symbolic,distribution,correlation",SB_BinaryStats_iqr.diff21stretch0,890
3585,SB_MotifTwo_diff_u,"symbolic,motifs",SB_MotifTwo_diff.u,891
3586,SB_MotifTwo_diff_h,"symbolic,motifs",SB_MotifTwo_diff.h,891
3587,SB_MotifTwo_diff_dd,"symbolic,motifs",SB_MotifTwo_diff.dd,891
3588,SB_MotifTwo_diff_du,"symbolic,motifs",SB_MotifTwo_diff.du,891
3589,SB_MotifTwo_diff_ud,"symbolic,motifs",SB_MotifTwo_diff.ud,891
3590,SB_MotifTwo_diff_uu,"symbolic,motifs",SB_MotifTwo_diff.uu,891
3591,SB_MotifTwo_diff_hh,"symbolic,motifs",SB_MotifTwo_diff.hh,891
3592,SB_MotifTwo_diff_ddd,"symbolic,motifs",SB_MotifTwo_diff.ddd,891
3593,SB_MotifTwo_diff_ddu,"symbolic,motifs",SB_MotifTwo_diff.ddu,891
3594,SB_MotifTwo_diff_dud,"symbolic,motifs",SB_MotifTwo_diff.dud,891
3595,SB_MotifTwo_diff_duu,"symbolic,motifs",SB_MotifTwo_diff.duu,891
3596,SB_MotifTwo_diff_udd,"symbolic,motifs",SB_MotifTwo_diff.udd,891
3597,SB_MotifTwo_diff_udu,"symbolic,motifs",SB_MotifTwo_diff.udu,891
3598,SB_MotifTwo_diff_uud,"symbolic,motifs",SB_MotifTwo_diff.uud,891
3599,SB_MotifTwo_diff_uuu,"symbolic,motifs",SB_MotifTwo_diff.uuu,891
3600,SB_MotifTwo_diff_hhh,"symbolic,motifs",SB_MotifTwo_diff.hhh,891
3601,SB_MotifTwo_diff_dddd,"symbolic,motifs",SB_MotifTwo_diff.dddd,891
3602,SB_MotifTwo_diff_dddu,"symbolic,motifs",SB_MotifTwo_diff.dddu,891
3603,SB_MotifTwo_diff_ddud,"symbolic,motifs",SB_MotifTwo_diff.ddud,891
3604,SB_MotifTwo_diff_dduu,"symbolic,motifs",SB_MotifTwo_diff.dduu,891
3605,SB_MotifTwo_diff_dudd,"symbolic,motifs",SB_MotifTwo_diff.dudd,891
3606,SB_MotifTwo_diff_dudu,"symbolic,motifs",SB_MotifTwo_diff.dudu,891
3607,SB_MotifTwo_diff_duud,"symbolic,motifs",SB_MotifTwo_diff.duud,891
3608,SB_MotifTwo_diff_duuu,"symbolic,motifs",SB_MotifTwo_diff.duuu,891
3609,SB_MotifTwo_diff_uddd,"symbolic,motifs",SB_MotifTwo_diff.uddd,891
3610,SB_MotifTwo_diff_uddu,"symbolic,motifs",SB_MotifTwo_diff.uddu,891
3611,SB_MotifTwo_diff_udud,"symbolic,motifs",SB_MotifTwo_diff.udud,891
3612,SB_MotifTwo_diff_uduu,"symbolic,motifs",SB_MotifTwo_diff.uduu,891
3613,SB_MotifTwo_diff_uudd,"symbolic,motifs",SB_MotifTwo_diff.uudd,891
3614,SB_MotifTwo_diff_uudu,"symbolic,motifs",SB_MotifTwo_diff.uudu,891
3615,SB_MotifTwo_diff_uuud,"symbolic,motifs",SB_MotifTwo_diff.uuud,891
3616,SB_MotifTwo_diff_uuuu,"symbolic,motifs",SB_MotifTwo_diff.uuuu,891
3617,SB_MotifTwo_diff_hhhh,"symbolic,motifs",SB_MotifTwo_diff.hhhh,891
3618,SB_MotifTwo_mean_u,"symbolic,motifs",SB_MotifTwo_mean.u,892
3619,SB_MotifTwo_mean_h,"symbolic,motifs",SB_MotifTwo_mean.h,892
3620,SB_MotifTwo_mean_dd,"symbolic,motifs",SB_MotifTwo_mean.dd,892
3621,SB_MotifTwo_mean_uu,"symbolic,motifs",SB_MotifTwo_mean.uu,892
3622,SB_MotifTwo_mean_hh,"symbolic,motifs",SB_MotifTwo_mean.hh,892
3623,SB_MotifTwo_mean_ddd,"symbolic,motifs",SB_MotifTwo_mean.ddd,892
3624,SB_MotifTwo_mean_ddu,"symbolic,motifs",SB_MotifTwo_mean.ddu,892
3625,SB_MotifTwo_mean_dud,"symbolic,motifs",SB_MotifTwo_mean.dud,892
3626,SB_MotifTwo_mean_duu,"symbolic,motifs",SB_MotifTwo_mean.duu,892
3627,SB_MotifTwo_mean_udd,"symbolic,motifs",SB_MotifTwo_mean.udd,892
3628,SB_MotifTwo_mean_udu,"symbolic,motifs",SB_MotifTwo_mean.udu,892
3629,SB_MotifTwo_mean_uud,"symbolic,motifs",SB_MotifTwo_mean.uud,892
3630,SB_MotifTwo_mean_uuu,"symbolic,motifs",SB_MotifTwo_mean.uuu,892
3631,SB_MotifTwo_mean_hhh,"symbolic,motifs",SB_MotifTwo_mean.hhh,892
3632,SB_MotifTwo_mean_dddd,"symbolic,motifs",SB_MotifTwo_mean.dddd,892
3633,SB_MotifTwo_mean_dddu,"symbolic,motifs",SB_MotifTwo_mean.dddu,892
3634,SB_MotifTwo_mean_ddud,"symbolic,motifs",SB_MotifTwo_mean.ddud,892
3635,SB_MotifTwo_mean_dduu,"symbolic,motifs",SB_MotifTwo_mean.dduu,892
3636,SB_MotifTwo_mean_dudd,"symbolic,motifs",SB_MotifTwo_mean.dudd,892
3637,SB_MotifTwo_mean_dudu,"symbolic,motifs",SB_MotifTwo_mean.dudu,892
3638,SB_MotifTwo_mean_duud,"symbolic,motifs",SB_MotifTwo_mean.duud,892
3639,SB_MotifTwo_mean_duuu,"symbolic,motifs",SB_MotifTwo_mean.duuu,892
3640,SB_MotifTwo_mean_uddd,"symbolic,motifs",SB_MotifTwo_mean.uddd,892
3641,SB_MotifTwo_mean_uddu,"symbolic,motifs",SB_MotifTwo_mean.uddu,892
3642,SB_MotifTwo_mean_udud,"symbolic,motifs",SB_MotifTwo_mean.udud,892
3643,SB_MotifTwo_mean_uduu,"symbolic,motifs",SB_MotifTwo_mean.uduu,892
3644,SB_MotifTwo_mean_uudd,"symbolic,motifs",SB_MotifTwo_mean.uudd,892
3645,SB_MotifTwo_mean_uudu,"symbolic,motifs",SB_MotifTwo_mean.uudu,892
3646,SB_MotifTwo_mean_uuud,"symbolic,motifs",SB_MotifTwo_mean.uuud,892
3647,SB_MotifTwo_mean_uuuu,"symbolic,motifs",SB_MotifTwo_mean.uuuu,892
3648,SB_MotifTwo_mean_hhhh,"symbolic,motifs",SB_MotifTwo_mean.hhhh,892
3649,SB_MotifTwo_median_u,"symbolic,motifs",SB_MotifTwo_median.u,893
3650,SB_MotifTwo_median_dd,"symbolic,motifs",SB_MotifTwo_median.dd,893
3651,SB_MotifTwo_median_du,"symbolic,motifs",SB_MotifTwo_median.du,893
3652,SB_MotifTwo_median_ud,"symbolic,motifs",SB_MotifTwo_median.ud,893
3653,SB_MotifTwo_median_uu,"symbolic,motifs",SB_MotifTwo_median.uu,893
3654,SB_MotifTwo_median_hh,"symbolic,motifs",SB_MotifTwo_median.hh,893
3655,SB_MotifTwo_median_ddd,"symbolic,motifs",SB_MotifTwo_median.ddd,893
3656,SB_MotifTwo_median_ddu,"symbolic,motifs",SB_MotifTwo_median.ddu,893
3657,SB_MotifTwo_median_dud,"symbolic,motifs",SB_MotifTwo_median.dud,893
3658,SB_MotifTwo_median_duu,"symbolic,motifs",SB_MotifTwo_median.duu,893
3659,SB_MotifTwo_median_udd,"symbolic,motifs",SB_MotifTwo_median.udd,893
3660,SB_MotifTwo_median_udu,"symbolic,motifs",SB_MotifTwo_median.udu,893
3661,SB_MotifTwo_median_uud,"symbolic,motifs",SB_MotifTwo_median.uud,893
3662,SB_MotifTwo_median_uuu,"symbolic,motifs",SB_MotifTwo_median.uuu,893
3663,SB_MotifTwo_median_hhh,"symbolic,motifs",SB_MotifTwo_median.hhh,893
3664,SB_MotifTwo_median_dddd,"symbolic,motifs",SB_MotifTwo_median.dddd,893
3665,SB_MotifTwo_median_dddu,"symbolic,motifs",SB_MotifTwo_median.dddu,893
3666,SB_MotifTwo_median_ddud,"symbolic,motifs",SB_MotifTwo_median.ddud,893
3667,SB_MotifTwo_median_dduu,"symbolic,motifs",SB_MotifTwo_median.dduu,893
3668,SB_MotifTwo_median_dudd,"symbolic,motifs",SB_MotifTwo_median.dudd,893
3669,SB_MotifTwo_median_dudu,"symbolic,motifs",SB_MotifTwo_median.dudu,893
3670,SB_MotifTwo_median_duud,"symbolic,motifs",SB_MotifTwo_median.duud,893
3671,SB_MotifTwo_median_duuu,"symbolic,motifs",SB_MotifTwo_median.duuu,893
3672,SB_MotifTwo_median_uddd,"symbolic,motifs",SB_MotifTwo_median.uddd,893
3673,SB_MotifTwo_median_uddu,"symbolic,motifs",SB_MotifTwo_median.uddu,893
3674,SB_MotifTwo_median_udud,"symbolic,motifs",SB_MotifTwo_median.udud,893
3675,SB_MotifTwo_median_uduu,"symbolic,motifs",SB_MotifTwo_median.uduu,893
3676,SB_MotifTwo_median_uudd,"symbolic,motifs",SB_MotifTwo_median.uudd,893
3677,SB_MotifTwo_median_uudu,"symbolic,motifs",SB_MotifTwo_median.uudu,893
3678,SB_MotifTwo_median_uuud,"symbolic,motifs",SB_MotifTwo_median.uuud,893
3679,SB_MotifTwo_median_uuuu,"symbolic,motifs",SB_MotifTwo_median.uuuu,893
3680,SB_MotifTwo_median_hhhh,"symbolic,motifs",SB_MotifTwo_median.hhhh,893
3681,SB_MotifThree_quantile_aa,"symbolic,motifs",SB_MotifThree_quantile.aa,894
3682,SB_MotifThree_quantile_ab,"symbolic,motifs",SB_MotifThree_quantile.ab,894
3683,SB_MotifThree_quantile_ac,"symbolic,motifs",SB_MotifThree_quantile.ac,894
3684,SB_MotifThree_quantile_ba,"symbolic,motifs",SB_MotifThree_quantile.ba,894
3685,SB_MotifThree_quantile_bb,"symbolic,motifs",SB_MotifThree_quantile.bb,894
3686,SB_MotifThree_quantile_bc,"symbolic,motifs",SB_MotifThree_quantile.bc,894
3687,SB_MotifThree_quantile_ca,"symbolic,motifs",SB_MotifThree_quantile.ca,894
3688,SB_MotifThree_quantile_cb,"symbolic,motifs",SB_MotifThree_quantile.cb,894
3689,SB_MotifThree_quantile_cc,"symbolic,motifs",SB_MotifThree_quantile.cc,894
3690,SB_MotifThree_quantile_hh,"symbolic,motifs",SB_MotifThree_quantile.hh,894
3691,SB_MotifThree_quantile_aaa,"symbolic,motifs",SB_MotifThree_quantile.aaa,894
3692,SB_MotifThree_quantile_aab,"symbolic,motifs",SB_MotifThree_quantile.aab,894
3693,SB_MotifThree_quantile_aac,"symbolic,motifs",SB_MotifThree_quantile.aac,894
3694,SB_MotifThree_quantile_aba,"symbolic,motifs",SB_MotifThree_quantile.aba,894
3695,SB_MotifThree_quantile_abb,"symbolic,motifs",SB_MotifThree_quantile.abb,894
3696,SB_MotifThree_quantile_abc,"symbolic,motifs",SB_MotifThree_quantile.abc,894
3697,SB_MotifThree_quantile_aca,"symbolic,motifs",SB_MotifThree_quantile.aca,894
3698,SB_MotifThree_quantile_acb,"symbolic,motifs",SB_MotifThree_quantile.acb,894
3699,SB_MotifThree_quantile_acc,"symbolic,motifs",SB_MotifThree_quantile.acc,894
3700,SB_MotifThree_quantile_baa,"symbolic,motifs",SB_MotifThree_quantile.baa,894
3701,SB_MotifThree_quantile_bab,"symbolic,motifs",SB_MotifThree_quantile.bab,894
3702,SB_MotifThree_quantile_bac,"symbolic,motifs",SB_MotifThree_quantile.bac,894
3703,SB_MotifThree_quantile_bba,"symbolic,motifs",SB_MotifThree_quantile.bba,894
3704,SB_MotifThree_quantile_bbb,"symbolic,motifs",SB_MotifThree_quantile.bbb,894
3705,SB_MotifThree_quantile_bbc,"symbolic,motifs",SB_MotifThree_quantile.bbc,894
3706,SB_MotifThree_quantile_bca,"symbolic,motifs",SB_MotifThree_quantile.bca,894
3707,SB_MotifThree_quantile_bcb,"symbolic,motifs",SB_MotifThree_quantile.bcb,894
3708,SB_MotifThree_quantile_bcc,"symbolic,motifs",SB_MotifThree_quantile.bcc,894
3709,SB_MotifThree_quantile_caa,"symbolic,motifs",SB_MotifThree_quantile.caa,894
3710,SB_MotifThree_quantile_cab,"symbolic,motifs",SB_MotifThree_quantile.cab,894
3711,SB_MotifThree_quantile_cac,"symbolic,motifs",SB_MotifThree_quantile.cac,894
3712,SB_MotifThree_quantile_cba,"symbolic,motifs",SB_MotifThree_quantile.cba,894
3713,SB_MotifThree_quantile_cbb,"symbolic,motifs",SB_MotifThree_quantile.cbb,894
3714,SB_MotifThree_quantile_cbc,"symbolic,motifs",SB_MotifThree_quantile.cbc,894
3715,SB_MotifThree_quantile_cca,"symbolic,motifs",SB_MotifThree_quantile.cca,894
3716,SB_MotifThree_quantile_ccb,"symbolic,motifs",SB_MotifThree_quantile.ccb,894
3717,SB_MotifThree_quantile_ccc,"symbolic,motifs",SB_MotifThree_quantile.ccc,894
3718,SB_MotifThree_quantile_hhh,"symbolic,motifs",SB_MotifThree_quantile.hhh,894
3719,SB_MotifThree_quantile_aaaa,"symbolic,motifs",SB_MotifThree_quantile.aaaa,894
3720,SB_MotifThree_quantile_aaab,"symbolic,motifs",SB_MotifThree_quantile.aaab,894
3721,SB_MotifThree_quantile_aaac,"symbolic,motifs",SB_MotifThree_quantile.aaac,894
3722,SB_MotifThree_quantile_aaba,"symbolic,motifs",SB_MotifThree_quantile.aaba,894
3723,SB_MotifThree_quantile_aabb,"symbolic,motifs",SB_MotifThree_quantile.aabb,894
